text,url
"France, Italy, Spain and California are the largest producer of wine in the world.",http://wineroutes.eu
"Just to assure the guests that the wine is not poisoned, the host (during the time of ancient Greece) would consume the first sip of wine.",http://wineroutes.eu
The risk of heart disease could be reduced by regular intake of wine but pretty moderately.,http://wineroutes.eu
Romans first started mixing lead with wine in order to have a sweeter taste and longer preservation.,http://wineroutes.eu
"If the wine has been made with the grapes that were picked during a rainstorm, then it will taste dilute.",http://wineroutes.eu
"A wine bottle should never be stored in a kitchen or a refrigerator as where the one is too hot, the other is too cold.",http://wineroutes.eu
"Red wine suits best with red meat, similarly white wine suits fish and white meat.",http://wineroutes.eu
"As far as a traditional meal is concerned, the lighter wines are always served before heavier ones.",http://wineroutes.eu
White wine should always be served at a lower temperature (45-50 degrees Fahrenheit) as compared to the red wine (50-60 degrees Fahrenheit).,http://wineroutes.eu
Harvesting done in a single year produces a typical vintage wine whereas a nonvintage wine is the one which is blended for more than 2 years.,http://wineroutes.eu
This is a myth that all wines improve with time? The fact is that very few would last longer than a decade.,http://wineroutes.eu
Is it pretty easier to differentiate between a European wine and a non-European wine? The one which is named after the geographic locations is the European one while the other one is named after different varieties of grape.,http://wineroutes.eu
"There are different varieties of wine such as Red Wine, White wine, fruit wine etc.",http://wineroutes.eu
The most delicate wine is the feminine wine whereas a big or full wine will always be referred as the masculine wine.,http://wineroutes.eu
Italians believe that women having 2 glasses of wine (every day) usually have better sex as compared to the one who doesn’t drink at all.,http://wineroutes.eu
The first female organization that was completely devoted to wine was started in 1988 by Italian women. The sole purpose of this organization was increasing the role of women in the Italian wine industry.,http://wineroutes.eu
There are around 2.8 pounds of grapes inside a wine bottle. 60 cases of wine (720 bottles) could be made out of one ton of grapes.,http://wineroutes.eu
If the world’s fruit crop is measured in terms of the acres planted then the number 1 rank would go the wine grapes.,http://wineroutes.eu
"Each vineyard and the wine is made unique by the combination of, type of soil, the climate, degree of slope and the particular exposure to the sun.",http://wineroutes.eu
"During ancient times, wineskins were the most common way to transport wine.",http://wineroutes.eu
Soy sauce contains 10 times the antioxidants of red wine.,http://wineroutes.eu
Drinking wine was forbidden for early Roman women and the husband was at liberty to divorce and even kill his wife if she was caught drinking it.,http://wineroutes.eu
The sweeter wine has comparably more calories than a dry red or white wine.,http://wineroutes.eu
Warm climate contributes largely to darker shades of wine whereas cooler climate result in lighter shades (especially in white wine),http://wineroutes.eu
Red wine has the tendency to loose color with time whereas white wine gains.,http://wineroutes.eu
Only a rare Muscat or concord wine would taste like grape.,http://wineroutes.eu
There is a unique third flavor whenever the wine and the food are paired together.,http://wineroutes.eu
Wine made out of the frozen grapes was invented by the Germans.,http://wineroutes.eu
The wine samples are analyzed by the wine chemists (Enologists).,http://wineroutes.eu
Ancient Greece attributed the bubbles in wine to the evil spirits and the phases of the moon.,http://wineroutes.eu
55% of restaurant wine sales is represented by red wine alone.,http://wineroutes.eu
Red wine helps in weight loss.,http://wineroutes.eu
Wine has been around for centuries. It’s a complex drink that can take years to perfect. There is history and science inside every bottle.,http://wineroutes.eu
"Red Wines are well attributed to positive health benefits. It lowers your chances of having a stroke compared to nondrinkers. For men and women who drink moderately, it lessens their chance of developing Type 2 diabetes by 30%",http://wineroutes.eu
"Believe it or not, there are some people that have a fear of wine. It’s called “oenophobia”.",http://wineroutes.eu
"How do you hold a wine glass? There is a right and wrong way. Wine glasses should be held by the stem, so that way it the hand does not raise the temperature of the wine. The stem is for a reason!",http://wineroutes.eu
"When at a wine tasting event, it is not frowned upon for spitting wine out. Take a sip of wine and hold it in your mouth for a couple seconds, then either swallow it or spit out. This is an acceptable way to know if it’s a good wine. A good wine will have a lengthy aftertaste.",http://wineroutes.eu
"Why do you store wine laying down? If the bottle is standing up, the cork could dry out and dwindle, possibly dropping into the wine.",http://wineroutes.eu
Bottles that have animals on the label are known as “Critter Wine”.,http://wineroutes.eu
Women are more inclined to the effects of wine than men. This is partly because they have less enzymes in the stomach lining that is needed to break down alcohol simply.,http://wineroutes.eu
It’s guilt-free! No fat and no cholesterol! But that does not mean to drink a bottle a day either!,http://wineroutes.eu
"The oldest known wine cellar is on the Titanic. When divers went down to the wreckage, surprisingly most of the bottles were still in tact.",http://wineroutes.eu
"Ben Franklin was quoted, “Wine makes daily life easy, less hurried, with fewer tension and more tolerance”.",http://wineroutes.eu
So many organic compounds are in wine. This is considered more complex than that of blood serum.,http://wineroutes.eu
"To get the same amount of antioxidants you find in wine, you would need to drink 20 glasses of apple juice or seven glasses of orange juice.",http://wineroutes.eu
"When pairing wine with food, the richer, heavier food go well with the richer, heavier wines. Usually red wine is served with the red meat. The lighter foods are pair with the light wines. White wine is served with chicken and fish. If you are looking to pair a wine with dessert, go for the sweet wine.",http://wineroutes.eu
“Toasting” started in ancient Rome when the Romans sustained the Greek tradition. They would drop a piece of toasted bread into the wine glass to soften unsavory tastes.,http://wineroutes.eu
“Drinking to one’s health” came from ancient Greece. The host of dinner would take the first sip to assurre his guests the wine was not poisoned.,http://wineroutes.eu
"California is the fourth largest producer of wine in the world. The other three are France, Spain, and Italy.",http://wineroutes.eu
"The world’s oldest bottle of wine was found near the town of Speyer, Germany. It dates before to A.D. 325 and is on display at the town’s historical museum.",http://wineroutes.eu
"Wonder why tasters “swirl” the wine in their glass? They do this to release its powerful aromas. If you notice, most don’t fill the glass more than a third full so when they allow the aromas to collect, they not spill it!",http://wineroutes.eu
"If a husband found his wife drinking wine in the early Roman times, he was at liberty to kill her. It was forbidden that women drink wine.",http://wineroutes.eu
"Hippocrates (c.460 – c. 370 BC), also known as the ‘father of medicine’, used wine in many of his recorded remedies. He used it for lower fevers and as a general antiseptic. It was a remedy he used often for his ailing patients.",http://wineroutes.eu
"To become more aware of the wine you like and dislike, use these five easy steps to tasting wine: sight, swirl, smell, sip, and savour.",http://wineroutes.eu
Learning how to smell and describe wine is very important because more than 80% of your ability to taste comes from your ability to smell!,http://wineroutes.eu
"Red and Rosé wines receive their colour from contact with grape skins. Although red wine can only be produced from red grapes, white wine can be produced from both white and red grapes.",http://wineroutes.eu
"There are approximately 20 million acres of grapes planted across the world; thanks to this number, grapes are ranked as the world’s number one fruit crop.",http://wineroutes.eu
VQA stands for Vintners Quality Alliance. It is the stamp of approval that ensures 100% of the grapes and juice that went into making the wine you’re serving or buying are guaranteed to be from the province of Ontario.,http://wineroutes.eu
"On average, there are about 75 grapes in each cluster.",http://wineroutes.eu
One grape cluster equals one glass of wine.,http://wineroutes.eu
A glass of wine (about 4 oz.) contains about 85 calories.,http://wineroutes.eu
"You should only fill your wine glass about 1/3 of the way full to allow enough room for you to swirl, aerate, and smell your wine.",http://wineroutes.eu
The first corkscrew was invented in the mid-1800s.,http://wineroutes.eu
The world’s leading cork producer is Portugal.,http://wineroutes.eu
"When you’re prepping for a wine party, estimate for about ½-1 bottle per person, but make sure to serve responsibly and know who the DDs are!",http://wineroutes.eu
"If you airtight seal your wine in the fridge (red or white), it should last three-to-seven days. Icewine that is airtight sealed can last upwards of three months!",http://wineroutes.eu
"Syrah and Shiraz are from the same grape. The difference is in their style. Typically, Syrah is made from a cooler climate and Shiraz is made in a warmer climate, but they can be called whichever the winery chooses.",http://wineroutes.eu
Pinot Gris and Pinot Grigio are also from the same grape. Pinot Grigio tends to be a lighter bodied wine meant for easy sipping and Pinot Gris has more of a medium body taste sometimes known for being more of a “serious” wine.,http://wineroutes.eu
"The vintage of a wine is the year the grapes were grown. Yes, there are good vintages and bad vintages, and every region is different.",http://wineroutes.eu
"The legs or tears of a wine are what crawl down the sides of your glass after you’ve swirled your wine and can tell you about the body of a wine. The quicker the legs run, the lighter the body; the slower they run, the fuller the body of the wine.",http://wineroutes.eu
Humouring your wine is another word for “swirling” your wine (in a glass).,http://wineroutes.eu
"There are approximately 400 species of oak, but only 20 of them are used in making oak barrels.",http://wineroutes.eu
"A Nebuchadnezzar bottle holds 15 litres of wine – not only is that big, but it’s also a total of 20 bottles!",http://wineroutes.eu
"You can only call sparkling wine “Champagne” if it is made in the region of Champagne, France, otherwise it is known as sparkling wine, or wineries will give the wine a unique name.",http://wineroutes.eu
"Traditionally made sparkling wines are made with Pinot Noir, Chardonnay and Pinot Meunier (although most tend to have just Pinot Noir and Chardonnay).",http://wineroutes.eu
"The shape of the original shallow and wide-mouthed Champagne or sparkling wine glass is known to be a tribute to the “breast” of Marie Antoinette, but the Greeks claim it is a tribute to Helen of Troy.",http://wineroutes.eu
"Decanting your red wines for an hour is the same as letting the wine age in a cellar for year. If you let them sit in the decanter for two hours, it is the same as two years and so on. Who needs patience?",http://wineroutes.eu
Canadians are the #1 producers of Icewine in the world! From Vidal to Riesling to Chardonnay to Cabernet Sauvignon – they all make great Icewine!,http://wineroutes.eu
"Icewine grapes get picked by hand in the middle of the night when the temperature has reached -8 for three nights in a row. And from every grape, you only get one drop of nectar per grape – hence the price tag on such a small bottle.",http://wineroutes.eu
The country of Georgia is known as the “birthplace of wine.”,http://wineroutes.eu
1982 was a very well known vintage for Bordeaux Wines.,http://wineroutes.eu
"Traditional Bordeaux wines were made from a blend of Cabernet Franc, Cabernet Sauvignon, Merlot, Petit Verdot, Carmenere, and Malbec. Cabernet Franc, Cabernet Sauvignon and Merlot are the most popular blends in today’s market.",http://wineroutes.eu
"Sauvignon Blanc is most well known for aromas of fresh-cut grass – which is the perfect pair for spring veggies like fiddleheads, asparagus, and green salads.",http://wineroutes.eu
"Chardonnay is known as the “winemaker’s grape” because it is so versatile. It is used in sparkling wine, on its own, aged in oak or bottled as un-oaked, used in blended wines and can also make Icewine.",http://wineroutes.eu
Muscat is a wine with a bit of sweetness that can also be called Moscato. Moscato D’asti is a bubbly sweet wine.,http://wineroutes.eu
